data,temperatura_media,chuva_mm
2022-01-01,27.7,1.1
2022-01-02,27.5,1.2
2022-01-03,26.8,1.2
2022-01-04,27.7,1.3
2022-01-05,25.9,10.0
2022-01-06,27.2,1.9
2022-01-07,27.6,0.8
2022-01-08,27.6,0.8
2022-01-09,27.7,0.1
2022-01-10,26.7,4.6
2022-01-11,26.6,4.7
2022-01-12,26.2,6.2
2022-01-13,26.3,4.3
2022-01-14,25.6,8.0
2022-01-15,24.6,15.6
2022-01-16,26.3,0.5
2022-01-17,27.1,0.3
2022-01-18,27.2,2.3
2022-01-19,27.2,0.1
2022-01-20,27.2,0.8
2022-01-21,26.4,4.3
2022-01-22,27.2,1.6
2022-01-23,27.5,0.5
2022-01-24,27.6,2.4
2022-01-25,28.3,1.3
2022-01-26,27.1,5.8
2022-01-27,25.7,13.5
2022-01-28,24.7,22.9
2022-01-29,24.7,31.9
2022-01-30,27.1,1.9
2022-01-31,27.3,1.9
2022-02-01,27.3,0.8
2022-02-02,27.2,0.8
2022-02-03,27.3,1.7
2022-02-04,27.5,0.4
2022-02-05,27.4,0.3
2022-02-06,27.4,0.0
2022-02-07,27.8,0.0
2022-02-08,27.7,0.0
2022-02-09,27.5,0.5
2022-02-10,27.7,0.0
2022-02-11,27.8,1.3
2022-02-12,27.2,1.7
2022-02-13,27.7,1.3
2022-02-14,27.7,2.1
2022-02-15,27.8,0.2
2022-02-16,27.4,0.8
2022-02-17,27.3,1.4
2022-02-18,26.3,3.2
2022-02-19,26.6,2.3
2022-02-20,27.3,3.4
2022-02-21,27.8,1.8
2022-02-22,27.7,0.7
2022-02-23,26.9,2.1
2022-02-24,27.5,1.9
2022-02-25,27.8,2.2
2022-02-26,27.8,0.3
2022-02-27,28.0,0.7
2022-02-28,27.2,5.0
2022-03-01,27.8,1.5
2022-03-02,27.1,3.6
2022-03-03,27.7,1.0
2022-03-04,26.1,12.3
2022-03-05,25.1,12.4
2022-03-06,26.2,9.0
2022-03-07,27.8,0.0
2022-03-08,27.2,0.5
2022-03-09,27.5,1.5
2022-03-10,27.0,4.5
2022-03-11,27.3,1.3
2022-03-12,26.1,7.2
2022-03-13,26.4,2.2
2022-03-14,26.8,4.5
2022-03-15,26.6,2.9
2022-03-16,25.5,8.0
2022-03-17,26.3,3.8
2022-03-18,26.8,3.6
2022-03-19,26.8,1.4
2022-03-20,27.3,3.2
2022-03-21,25.8,16.4
2022-03-22,25.6,17.8
2022-03-23,26.2,10.5
2022-03-24,25.6,4.8
2022-03-25,26.3,6.9
2022-03-26,25.8,11.8
2022-03-27,25.7,17.8
2022-03-28,26.5,4.8
2022-03-29,26.9,1.4
2022-03-30,27.0,0.9
2022-03-31,27.3,0.3
2022-04-01,27.3,0.3
2022-04-02,26.4,6.7
2022-04-03,25.6,13.0
2022-04-04,26.9,1.7
2022-04-05,26.0,2.6
2022-04-06,25.6,5.6
2022-04-07,26.5,0.9
2022-04-08,26.5,3.9
2022-04-09,27.0,1.7
2022-04-10,27.1,1.3
2022-04-11,27.0,0.5
2022-04-12,26.7,0.2
2022-04-13,26.6,0.5
2022-04-14,26.8,0.2
2022-04-15,27.7,0.2
2022-04-16,27.5,2.3
2022-04-17,26.4,4.2
2022-04-18,27.3,0.2
2022-04-19,27.0,0.7
2022-04-20,26.1,4.2
2022-04-21,26.6,1.5
2022-04-22,26.5,7.4
2022-04-23,25.4,8.3
2022-04-24,25.5,4.5
2022-04-25,25.3,6.1
2022-04-26,26.3,1.7
2022-04-27,26.8,3.7
2022-04-28,26.3,4.0
2022-04-29,26.1,1.7
2022-04-30,26.6,0.9
2022-05-01,26.7,2.7
2022-05-02,25.9,7.9
2022-05-03,26.3,7.6
2022-05-04,27.0,1.9
2022-05-05,26.0,6.7
2022-05-06,25.5,25.9
2022-05-07,26.1,5.4
2022-05-08,25.8,0.8
2022-05-09,25.7,1.6
2022-05-10,26.0,1.9
2022-05-11,25.5,3.2
2022-05-12,26.5,0.9
2022-05-13,26.8,5.0
2022-05-14,26.1,2.9
2022-05-15,25.6,6.8
2022-05-16,26.4,1.4
2022-05-17,26.9,1.7
2022-05-18,27.1,0.3
2022-05-19,27.0,0.0
2022-05-20,26.3,5.3
2022-05-21,25.4,1.4
2022-05-22,25.2,7.7
2022-05-23,24.4,20.0
2022-05-24,24.2,16.2
2022-05-25,24.0,20.6
2022-05-26,24.9,8.1
2022-05-27,24.4,22.1
2022-05-28,24.4,59.6
2022-05-29,24.2,5.7
2022-05-30,25.1,11.6
2022-05-31,24.4,30.2
2022-06-01,24.8,8.7
2022-06-02,24.7,5.8
2022-06-03,24.3,38.9
2022-06-04,24.2,17.7
2022-06-05,25.0,2.8
2022-06-06,24.3,5.2
2022-06-07,24.7,3.2
2022-06-08,24.8,1.4
2022-06-09,24.4,13.9
2022-06-10,25.1,2.2
2022-06-11,24.0,28.1
2022-06-12,24.9,0.0
2022-06-13,25.4,0.3
2022-06-14,25.2,0.3
2022-06-15,24.5,1.6
2022-06-16,24.7,0.8
2022-06-17,24.6,0.2
2022-06-18,24.9,0.0
2022-06-19,25.6,0.5
2022-06-20,25.3,12.3
2022-06-21,25.9,1.5
2022-06-22,23.6,61.4
2022-06-23,24.8,4.1
2022-06-24,24.6,22.0
2022-06-25,24.2,0.0
2022-06-26,24.3,0.0
2022-06-27,24.5,1.4
2022-06-28,24.7,1.8
2022-06-29,23.7,19.2
2022-06-30,24.7,1.2
2022-07-01,25.0,1.9
2022-07-02,24.6,20.5
2022-07-03,24.6,26.0
2022-07-04,24.5,17.8
2022-07-05,25.9,0.5
2022-07-06,25.3,7.2
2022-07-07,23.9,36.1
2022-07-08,24.4,21.0
2022-07-09,24.7,5.8
2022-07-10,25.4,2.1
2022-07-11,24.8,1.0
2022-07-12,25.3,0.2
2022-07-13,24.8,2.9
2022-07-14,24.9,0.7
2022-07-15,24.3,1.2
2022-07-16,24.1,4.8
2022-07-17,24.3,5.1
2022-07-18,24.2,2.7
2022-07-19,24.8,2.1
2022-07-20,24.7,5.8
2022-07-21,23.8,23.2
2022-07-22,24.4,10.1
2022-07-23,25.0,1.6
2022-07-24,24.6,5.0
2022-07-25,23.9,0.5
2022-07-26,23.6,0.5
2022-07-27,24.2,1.1
2022-07-28,24.0,0.3
2022-07-29,24.3,1.3
2022-07-30,23.4,27.7
2022-07-31,24.7,3.2
2022-08-01,25.1,0.5
2022-08-02,24.3,4.9
2022-08-03,24.0,14.9
2022-08-04,24.6,6.6
2022-08-05,24.9,2.9
2022-08-06,25.0,1.0
2022-08-07,24.7,4.3
2022-08-08,25.1,0.0
2022-08-09,24.5,1.4
2022-08-10,24.5,0.6
2022-08-11,24.7,2.9
2022-08-12,25.3,1.4
2022-08-13,25.3,0.7
2022-08-14,24.8,0.7
2022-08-15,24.9,0.2
2022-08-16,26.0,0.0
2022-08-17,24.6,3.8
2022-08-18,25.1,0.0
2022-08-19,23.8,0.4
2022-08-20,24.1,0.1
2022-08-21,24.3,0.1
2022-08-22,23.5,6.5
2022-08-23,23.5,16.6
2022-08-24,24.1,3.6
2022-08-25,24.3,1.4
2022-08-26,24.1,1.3
2022-08-27,23.5,10.7
2022-08-28,24.5,0.8
2022-08-29,24.2,0.6
2022-08-30,24.2,0.0
2022-08-31,24.0,0.9
2022-09-01,24.0,0.6
2022-09-02,23.9,5.0
2022-09-03,25.1,0.5
2022-09-04,24.0,18.3
2022-09-05,23.2,27.7
2022-09-06,24.2,3.5
2022-09-07,24.0,1.4
2022-09-08,24.4,0.3
2022-09-09,25.2,0.0
2022-09-10,24.0,1.1
2022-09-11,24.4,1.2
2022-09-12,24.9,0.1
2022-09-13,24.6,1.5
2022-09-14,24.6,1.5
2022-09-15,25.2,0.3
2022-09-16,25.1,0.0
2022-09-17,25.1,0.0
2022-09-18,24.7,3.6
2022-09-19,25.2,0.2
2022-09-20,25.1,1.5
