data,medicamento_id,consumo_unidades,dispensacao_unidades,demanda_nao_atendida,estoque_disponivel,entradas_unidades,ocupacao_leitos_pct,atendimentos_ps
2022-01-01,paracetamol,257.0,257.0,0.0,3598.0,0.0,41.1,87
2022-01-02,paracetamol,159.0,159.0,0.0,3439.0,0.0,29.7,56
2022-01-03,paracetamol,258.0,258.0,0.0,3181.0,0.0,50.0,99
2022-01-04,paracetamol,249.0,249.0,0.0,2932.0,0.0,47.6,86
2022-01-05,paracetamol,188.0,188.0,0.0,2744.0,0.0,35.4,62
2022-01-06,paracetamol,131.0,131.0,0.0,2613.0,0.0,23.4,43
2022-01-07,paracetamol,160.0,160.0,0.0,2453.0,0.0,26.6,53
2022-01-08,paracetamol,208.0,208.0,0.0,2245.0,0.0,29.9,63
2022-01-09,paracetamol,171.0,171.0,0.0,2074.0,0.0,28.5,63
2022-01-10,paracetamol,160.0,160.0,0.0,1914.0,0.0,33.9,57
2022-01-11,paracetamol,197.0,197.0,0.0,1717.0,0.0,43.2,72
2022-01-12,paracetamol,170.0,170.0,0.0,1547.0,0.0,35.5,63
2022-01-13,paracetamol,168.0,168.0,0.0,1379.0,0.0,24.1,56
2022-01-14,paracetamol,182.0,182.0,0.0,1197.0,0.0,35.5,65
2022-01-15,paracetamol,177.0,177.0,0.0,1020.0,0.0,36.7,68
2022-01-16,paracetamol,177.0,177.0,0.0,843.0,0.0,41.9,57
2022-01-17,paracetamol,186.0,186.0,0.0,657.0,0.0,29.1,61
2022-01-18,paracetamol,161.0,161.0,0.0,496.0,0.0,28.8,48
2022-01-19,paracetamol,187.0,187.0,0.0,309.0,0.0,42.4,63
2022-01-20,paracetamol,159.0,159.0,0.0,3006.9230769230767,2856.9230769230767,36.3,60
2022-01-21,paracetamol,153.0,153.0,0.0,2853.9230769230767,0.0,37.1,61
2022-01-22,paracetamol,228.0,228.0,0.0,2625.9230769230767,0.0,39.9,74
2022-01-23,paracetamol,303.0,303.0,0.0,2322.9230769230767,0.0,47.1,92
2022-01-24,paracetamol,224.0,224.0,0.0,2098.9230769230767,0.0,46.0,84
2022-01-25,paracetamol,158.0,158.0,0.0,1940.9230769230767,0.0,23.9,39
2022-01-26,paracetamol,157.0,157.0,0.0,1783.9230769230767,0.0,34.2,49
2022-01-27,paracetamol,180.0,180.0,0.0,1603.9230769230767,0.0,31.1,66
2022-01-28,paracetamol,180.0,180.0,0.0,1423.9230769230767,0.0,36.5,62
2022-01-29,paracetamol,217.0,217.0,0.0,1206.9230769230767,0.0,49.2,100
2022-01-30,paracetamol,193.0,193.0,0.0,1013.9230769230767,0.0,38.4,78
2022-01-31,paracetamol,228.0,228.0,0.0,785.9230769230767,0.0,42.8,84
2022-02-01,paracetamol,162.0,162.0,0.0,623.9230769230767,0.0,32.0,60
2022-02-02,paracetamol,172.0,172.0,0.0,451.9230769230767,0.0,28.5,55
2022-02-03,paracetamol,142.0,142.0,0.0,3127.78021978022,2817.857142857143,33.1,60
2022-02-04,paracetamol,173.0,173.0,0.0,2954.78021978022,0.0,28.4,55
2022-02-05,paracetamol,201.0,201.0,0.0,2753.78021978022,0.0,44.2,84
