data,medicamento_id,consumo_unidades,estoque_disponivel,entradas_unidades,ocupacao_leitos_pct,atendimentos_ps,temperatura_media,chuva_mm,casos_dengue_regiao,feriado
2022-01-01,paracetamol,257.0,3598.0,0.0,48.8,109,27.7,1.1,5.857142857142857,True
2022-01-02,paracetamol,159.0,3439.0,0.0,31.5,61,27.5,1.2,5.857142857142857,False
2022-01-03,paracetamol,191.0,3248.0,0.0,44.4,83,26.8,1.2,5.857142857142857,False
2022-01-04,paracetamol,185.0,3063.0,0.0,38.8,61,27.7,1.3,5.857142857142857,False
2022-01-05,paracetamol,140.0,2923.0,0.0,26.6,37,25.9,10.0,5.857142857142857,False
2022-01-06,paracetamol,131.0,2792.0,0.0,22.4,40,27.2,1.9,5.857142857142857,False
2022-01-07,paracetamol,160.0,2632.0,0.0,25.6,50,27.6,0.8,5.857142857142857,False
2022-01-08,paracetamol,208.0,2424.0,0.0,32.3,70,27.6,0.8,5.857142857142857,False
2022-01-09,paracetamol,171.0,2253.0,0.0,30.6,69,27.7,0.1,7.0,False
2022-01-10,paracetamol,160.0,2093.0,0.0,35.7,62,26.7,4.6,7.0,False
2022-01-11,paracetamol,197.0,1896.0,0.0,46.0,80,26.6,4.7,7.0,False
2022-01-12,paracetamol,170.0,1726.0,0.0,36.2,65,26.2,6.2,7.0,False
2022-01-13,paracetamol,168.0,1558.0,0.0,24.1,56,26.3,4.3,7.0,False
2022-01-14,paracetamol,182.0,1376.0,0.0,35.9,66,25.6,8.0,7.0,False
2022-01-15,paracetamol,177.0,1199.0,0.0,39.1,75,24.6,15.6,7.0,False
2022-01-16,paracetamol,177.0,1022.0,0.0,43.6,62,26.3,0.5,9.142857142857142,False
2022-01-17,paracetamol,186.0,836.0,0.0,29.7,63,27.1,0.3,9.142857142857142,False
2022-01-18,paracetamol,161.0,675.0,0.0,28.4,47,27.2,2.3,9.142857142857142,False
2022-01-19,paracetamol,187.0,488.0,0.0,43.1,65,27.2,0.1,9.142857142857142,False
2022-01-20,paracetamol,159.0,329.0,0.0,33.5,52,27.2,0.8,9.142857142857142,False
2022-01-21,paracetamol,153.0,2832.071428571429,2656.071428571429,38.9,66,26.4,4.3,9.142857142857142,False
2022-01-22,paracetamol,168.0,2664.071428571429,0.0,30.8,48,27.2,1.6,9.142857142857142,False
2022-01-23,paracetamol,226.0,2438.071428571429,0.0,40.0,72,27.5,0.5,7.571428571428571,False
2022-01-24,paracetamol,165.0,2273.071428571429,0.0,38.3,62,27.6,2.4,7.571428571428571,False
2022-01-25,paracetamol,158.0,2115.071428571429,0.0,22.5,35,28.3,1.3,7.571428571428571,False
2022-01-26,paracetamol,157.0,1958.071428571429,0.0,33.5,47,27.1,5.8,7.571428571428571,False
2022-01-27,paracetamol,180.0,1778.071428571429,0.0,32.2,69,25.7,13.5,7.571428571428571,False
2022-01-28,paracetamol,180.0,1598.071428571429,0.0,37.9,66,24.7,22.9,7.571428571428571,False
2022-01-29,paracetamol,217.0,1381.071428571429,0.0,53.8,113,24.7,31.9,7.571428571428571,False
2022-01-30,paracetamol,193.0,1188.071428571429,0.0,38.0,77,27.1,1.9,7.0,False
2022-01-31,paracetamol,228.0,960.0714285714288,0.0,43.2,85,27.3,1.9,7.0,False
2022-02-01,paracetamol,162.0,798.0714285714289,0.0,29.6,53,27.3,0.8,7.0,False
2022-02-02,paracetamol,172.0,626.0714285714289,0.0,25.7,47,27.2,0.8,7.0,False
2022-02-03,paracetamol,142.0,484.0714285714289,0.0,31.0,54,27.3,1.7,7.0,False
2022-02-04,paracetamol,173.0,2961.7857142857147,2650.714285714286,25.2,46,27.5,0.4,7.0,False
2022-02-05,paracetamol,201.0,2760.7857142857147,0.0,43.5,82,27.4,0.3,7.0,False
2022-02-06,paracetamol,210.0,2550.7857142857147,0.0,35.5,76,27.4,0.0,7.571428571428571,False
2022-02-07,paracetamol,162.0,2388.7857142857147,0.0,40.2,68,27.8,0.0,7.571428571428571,False
2022-02-08,paracetamol,139.0,2249.7857142857147,0.0,26.6,51,27.7,0.0,7.571428571428571,False
2022-02-09,paracetamol,178.0,2071.7857142857147,0.0,36.8,73,27.5,0.5,7.571428571428571,False
2022-02-10,paracetamol,192.0,1879.785714285715,0.0,31.0,57,27.7,0.0,7.571428571428571,False
2022-02-11,paracetamol,166.0,1713.785714285715,0.0,35.6,48,27.8,1.3,7.571428571428571,False
2022-02-12,paracetamol,162.0,1551.785714285715,0.0,37.9,66,27.2,1.7,7.571428571428571,False
2022-02-13,paracetamol,176.0,1375.785714285715,0.0,38.6,74,27.7,1.3,9.857142857142858,False
