data,medicamento_id,consumo_unidades,estoque_disponivel,entradas_unidades,ocupacao_leitos_pct,atendimentos_ps,temperatura_media,chuva_mm,casos_dengue_regiao,feriado
2022-01-01,adrenalina_inj,5.0,105.0,0.0,42.8,120,27.7,1.1,5.857142857142857,True
2022-01-02,adrenalina_inj,2.0,103.0,0.0,34.6,98,27.5,1.2,5.857142857142857,False
2022-01-03,adrenalina_inj,7.0,96.0,0.0,45.8,115,26.8,1.2,5.857142857142857,False
2022-01-04,adrenalina_inj,10.0,86.0,0.0,45.8,109,27.7,1.3,5.857142857142857,False
2022-01-05,adrenalina_inj,3.0,83.0,0.0,37.8,97,25.9,10.0,5.857142857142857,False
2022-01-06,adrenalina_inj,4.0,79.0,0.0,29.0,87,27.2,1.9,5.857142857142857,False
2022-01-07,adrenalina_inj,8.0,71.0,0.0,31.1,94,27.6,0.8,5.857142857142857,False
2022-01-08,adrenalina_inj,6.0,65.0,0.0,33.3,101,27.6,0.8,5.857142857142857,False
2022-01-09,adrenalina_inj,7.0,58.0,0.0,32.6,103,27.7,0.1,7.0,False
2022-01-10,adrenalina_inj,9.0,49.0,0.0,37.4,95,26.7,4.6,7.0,False
2022-01-11,adrenalina_inj,4.0,45.0,0.0,42.8,99,26.6,4.7,7.0,False
2022-01-12,adrenalina_inj,4.0,41.0,0.0,38.3,99,26.2,6.2,7.0,False
2022-01-13,adrenalina_inj,8.0,33.0,0.0,27.9,95,26.3,4.3,7.0,False
2022-01-14,adrenalina_inj,9.0,24.0,0.0,38.3,101,25.6,8.0,7.0,False
2022-01-15,adrenalina_inj,6.0,18.0,0.0,41.2,109,24.6,15.6,7.0,False
2022-01-16,adrenalina_inj,5.0,145.0,132.0,47.0,100,26.3,0.5,9.142857142857142,False
2022-01-17,adrenalina_inj,9.0,136.0,0.0,33.2,101,27.1,0.3,9.142857142857142,False
2022-01-18,adrenalina_inj,3.0,133.0,0.0,33.3,89,27.2,2.3,9.142857142857142,False
2022-01-19,adrenalina_inj,6.0,127.0,0.0,44.8,98,27.2,0.1,9.142857142857142,False
2022-01-20,adrenalina_inj,4.0,123.0,0.0,45.7,115,27.2,0.8,9.142857142857142,False
2022-01-21,adrenalina_inj,5.0,118.0,0.0,38.8,94,26.4,4.3,9.142857142857142,False
2022-01-22,adrenalina_inj,8.0,110.0,0.0,43.7,113,27.2,1.6,9.142857142857142,False
2022-01-23,adrenalina_inj,5.0,105.0,0.0,47.7,122,27.5,0.5,7.571428571428571,False
2022-01-24,adrenalina_inj,3.0,102.0,0.0,45.3,110,27.6,2.4,7.571428571428571,False
2022-01-25,adrenalina_inj,4.0,98.0,0.0,32.3,91,28.3,1.3,7.571428571428571,False
2022-01-26,adrenalina_inj,4.0,94.0,0.0,39.7,93,27.1,5.8,7.571428571428571,False
2022-01-27,adrenalina_inj,4.0,90.0,0.0,32.5,98,25.7,13.5,7.571428571428571,False
2022-01-28,adrenalina_inj,10.0,80.0,0.0,39.3,98,24.7,22.9,7.571428571428571,False
